Date,Site,Species,Pittag,Elastomer,OldNew,Sex,Tissue,SVL,Tail removed,Tail regrown,Weight,LatLoc,Sub,Size,Meso,LongLoc,Stage,PhotoID,PhotoID,PhotoSVL,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,HeightTail,Notes
6/10/2021,LowerBear,GP,900215000822312,NA,N,U,Y,NA,0,0,2.1,WE,R,32,RF,160,L,108-0174,108-0175,48.52,12.95,8.84,33.71,7.62,2.6,2.05,5.15,6.38,
6/10/2021,LowerBear,GP,900215000822308,NA,N,F,Y,NA,15,3,7.0,WE,R,22,RF,143,A,108-0177,108-0178,74.64,19.06,11.41,48.72,11.29,3.5,5.06,8.64,9.4,
6/10/2021,LowerBear,GP,999002018052350,NA,O,F,Y,NA,0,0,6.1,T,R,18,RF,169,A,108-0176,NA,69.48,13.59,10.88,45.95,11.19,3.26,3.04,8.2,NA,
6/10/2021,LowerBear,GP,900215000822357,NA,N,F,Y,NA,0,0,9.0,T,R,35,RF,112,A,108-0179,108-0180,79.05,20.46,11.04,54.33,10.89,5.29,3.92,7.81,8.06,
6/10/2021,LowerBear,GP,900215000822390,NA,N,F,Y,NA,40,3,4.4,WE,R,25,RF,94,A,108-0182,108-0183,65.15,16.57,10.3,45.03,9.59,5.22,4.57,7.81,6.61,
6/10/2021,LowerBear,GP,900215000823208,NA,N,U,Y,NA,0,0,3.5,WE,R,22,PL,190,L,108-0185,108-0184,55.68,14.48,10.29,37.77,9.42,2.96,3.27,6.55,6.56,
6/10/2021,LowerBear,GP,NA,NA,N,U,N,27,0,0,0.6,WE,R,32,RF,220,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOO SMALL
6/10/2021,LowerBear,GP,900215000822331,NA,N,U,Y,NA,5,4,3.6,T,R,11,PL,289,L,108-0186,108-0187,59.71,15.99,9.95,41.06,9.39,3.39,3.43,7.33,7.64,
6/10/2021,LowerBear,GP,NA,NA,N,U,N,27,0,0,0.5,WE,R,22,PL,361,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/2021,LowerBear,GP,900215000822394,NA,N,U,Y,NA,0,0,5.0,WE,R,30,PL,367,L,108-0188,108-0189,62.64,15.43,10.95,44.01,10.11,4.12,3.23,3.95,7.84,
6/10/2021,LowerBear,GP,900215000822387,NA,N,U,Y,44,0,0,1.6,WE,R,22,RF,490,L,108-0190,108-0191,42.77,11.88,7.26,30.12,6.93,2.67,2.13,4.95,5.55,
6/10/2021,LowerBear,GP,900215000822307,NA,N,F,Y,NA,0,0,6.8,WE,R,30,RF,484,A,108-0192,108-0193,72.1,17.79,11.74,49.47,11.67,5.03,5.75,9,7.87,
6/10/2021,LowerBear,GP,900215000822355,NA,N,F,Y,NA,0,0,9.7,WE,R,40,RF,450,A,108-0194,108-0195,78.89,20.08,12.96,53.04,13.04,3.56,4.92,10.18,9.04,
6/10/2021,LowerBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,25,RF,467,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/10/2021,LowerBear,GP,900215000822365,NA,N,U,Y,NA,0,0,2.9,WE,R,20,RF,430,L,108-0196,108-0197,49.91,14.67,9.17,33.67,8.31,2.52,3.36,6.57,6.24,
6/10/2021,LowerBear,GP,900215000822388,NA,N,U,Y,NA,NA,NA,5.5,WE,R,40,RF,450,L,108-0198,108-0199,64.48,17.29,11.01,42.77,11.17,2.62,3.93,8.42,7.85,
6/10/2021,LowerBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,WE,R,15,PL,268,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/10/2021,LowerBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,R,24,PL,345,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/10/2021,LowerBear,GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,WE,R,15,PL,289,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSED
6/12/2021,UpperBear,GP,900215000822322,GBP1-2-3,O,F,Y,NA,5,4,7.5,T,R,18,PL,11.5,A,108-0200,108-0201,76.54,19.61,11.48,51.67,11.68,5.24,5.04,8.35,8.71,
6/12/2021,UpperBear,GP,900215000822328,NA,N,M,Y,NA,5,4,13.0,WE,R,37,PL,120,A,108-0204,108-0203,83.6,20.66,12.16,57.28,13.3,4.52,4.19,9.75,10.4,
6/12/2021,UpperBear,GP,900113001674087,NA,O,U,Y,NA,5,5,2.7,T,R,30,PL,118,L,108-0202,NA,49.68,14.69,8.96,33.25,9.63,3,2.21,7.26,NA,
6/12/2021,UpperBear,DF,900215000823279,NA,N,F,Y,45,50,40,1.4,T,R,30,PL,141,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
